id,produto,preco,quantidade,centro_distribuicao
21,chocolate,5,100,centro_01
22,biscoito,2,200,centro_02
23,bolacha,3,150,centro_01
24,torrada,4,50,centro_02
25,amendoim,6,300,centro_01
26,castanha,8,80,centro_02
27,granola,4,120,centro_02
28,barra_de_cereal,3,40,centro_01
29,paes,2,60,centro_02
30,bolos,5,30,centro_01
31,doces,1,500,centro_02
32,salgadinhos,2,400,centro_01
33,sabao_em_po,3,600,centro_02
34,amaciante,1,800,centro_03
35,desinfetante,2,100,centro_03
36,agua_sanitaria,5,10,centro_01
37,limpa_vidros,4,20,centro_03
38,desengordurante,3,30,centro_01
39,limpa_forno,2,40,centro_01
40,limpa_aluminio,1,50,centro_02
